,feature,factor,value,view
234,NCK2,Factor1,0.00343963399610441,mRNA
235,MGAT4A,Factor1,0.115189555352238,mRNA
236,LMCD1,Factor1,0.0235034015583642,mRNA
237,TRIP13,Factor1,0.000128448956336977,mRNA
238,ATP6AP1,Factor1,0.0511545867655955,mRNA
239,SLC6A15,Factor1,0.42531907918972,mRNA
240,LIMS2,Factor1,0.325517499316611,mRNA
241,TFRC,Factor1,0.0109269067034192,mRNA
242,TRHDE,Factor1,0.103449227055747,mRNA
243,P4HA2,Factor1,0.191250523145251,mRNA
244,FBXW11,Factor1,0.0961852834823519,mRNA
245,CRMP1,Factor1,0.547798074127653,mRNA
246,PVR,Factor1,0.0225784718395714,mRNA
247,PDE8A,Factor1,0.0732315080577009,mRNA
248,GSDMB,Factor1,0.215012003213568,mRNA
249,PPP2R3A,Factor1,0.469809319905558,mRNA
250,DHRS9,Factor1,0.0692354630291841,mRNA
251,PTGS2,Factor1,0.0111090779423563,mRNA
252,MAP3K13,Factor1,0.0692143258466094,mRNA
253,FRY,Factor1,0.0145174954308353,mRNA
254,NOTCH3,Factor1,0.420445725182368,mRNA
255,TEAD2,Factor1,0.190632149898438,mRNA
256,ATP2A3,Factor1,0.0893794974654938,mRNA
257,CA12,Factor1,0.0450639487964779,mRNA
258,MGLL,Factor1,0.0533597398373798,mRNA
259,NTN4,Factor1,0.0323016855508703,mRNA
260,BCS1L,Factor1,0.0633676130586232,mRNA
261,KCNQ2,Factor1,0.010993684183251,mRNA
262,SEMA3A,Factor1,0.159180079154963,mRNA
263,VPS9D1,Factor1,0.00397437409571046,mRNA
264,SLC25A3,Factor1,0.00113909317171559,mRNA
265,CACNG4,Factor1,0.0694590083742038,mRNA
266,MOCOS,Factor1,0.210758511291752,mRNA
267,PLD1,Factor1,0.153470975449402,mRNA
268,SEC31B,Factor1,0.0182486413077968,mRNA
269,SART3,Factor1,0.00327350860792388,mRNA
270,FMO4,Factor1,0.00339136173245859,mRNA
271,PLXNA2,Factor1,0.106533167278877,mRNA
272,ANKRD13A,Factor1,0.00319220848126753,mRNA
273,TPD52,Factor1,0.232424079484447,mRNA
274,ACACB,Factor1,0.0124435893493408,mRNA
275,ICAM3,Factor1,0.00626517132506082,mRNA
276,RAP1GAP,Factor1,0.213802205928261,mRNA
277,DGKD,Factor1,0.0015115988818266,mRNA
278,RARB,Factor1,0.346813179627629,mRNA
279,NFKB2,Factor1,0.101914488107038,mRNA
280,DNAJC10,Factor1,0.0174117428149947,mRNA
281,AMPH,Factor1,0.616897950844023,mRNA
282,MCCC1,Factor1,0.105418813336202,mRNA
283,TIGAR,Factor1,0.0281737139063536,mRNA
284,HOXA9,Factor1,0.452382174987401,mRNA
285,MLLT10,Factor1,0.0379941070724286,mRNA
286,CBFA2T2,Factor1,0.00157351634275118,mRNA
287,TP53INP2,Factor1,0.23186166584677,mRNA
288,MYH7B,Factor1,0.2336928156417,mRNA
289,TNS1,Factor1,0.103170986413134,mRNA
290,REXO1,Factor1,0.00562779729060368,mRNA
291,FDFT1,Factor1,0.000401346331559594,mRNA
292,OPHN1,Factor1,0.0457730669302373,mRNA
293,DNM2,Factor1,0.00348636199749594,mRNA
294,RIMS1,Factor1,0.400400585557603,mRNA
295,SLC4A4,Factor1,0.00924177802676066,mRNA
296,COL5A3,Factor1,0.115041791113097,mRNA
297,CHRNA3,Factor1,0.00105696609239636,mRNA
298,CPOX,Factor1,0.002013625909059,mRNA
299,DLGAP4,Factor1,0.023747476110621,mRNA
300,MAGI3,Factor1,0.0178322592969457,mRNA
301,COL4A4,Factor1,0.00132638488437352,mRNA
302,MEF2C,Factor1,0.0219369296358974,mRNA
303,AACS,Factor1,0.130195343108356,mRNA
304,PCDHB4,Factor1,0.167589575672114,mRNA
305,PCDHGA2,Factor1,0.0645816639000558,mRNA
306,ATP8B1,Factor1,0.244015787807618,mRNA
307,IL12RB2,Factor1,0.0133999322436695,mRNA
308,SMARCD3,Factor1,0.263121766726293,mRNA
309,ME2,Factor1,0.000129745628634238,mRNA
310,KCNK2,Factor1,0.353182002944919,mRNA
311,GEMIN5,Factor1,0.00200975088482621,mRNA
312,GSK3B,Factor1,0.00658918791159685,mRNA
313,ITGB5,Factor1,0.00874798952913421,mRNA
314,NUFIP1,Factor1,0.00120837287749235,mRNA
315,ZNF446,Factor1,0.00143445130579449,mRNA
316,PPIE,Factor1,0.00351854189363848,mRNA
317,NOA1,Factor1,0.0268023580382268,mRNA
318,APLP2,Factor1,0.00407278069656257,mRNA
319,WBP11,Factor1,0.00307054549390553,mRNA
320,EIF3I,Factor1,0.0167850816629144,mRNA
321,APOB,Factor1,0.105072989580712,mRNA
322,NCOA1,Factor1,0.00150572112381438,mRNA
323,KIF3C,Factor1,0.210326541547148,mRNA
324,RAB10,Factor1,0.00301072643790537,mRNA
325,SEH1L,Factor1,0.00150640538713174,mRNA
326,PILRA,Factor1,0.0282082191755289,mRNA
327,ABCB1,Factor1,0.282356016578517,mRNA
328,AKR1B1,Factor1,0.442859645252084,mRNA
329,CPNE3,Factor1,0.00116857623403394,mRNA
330,CTTN,Factor1,0.00341001290602385,mRNA
331,WNT11,Factor1,0.278955947069575,mRNA
332,MTIF2,Factor1,0.0499923390548658,mRNA
333,TTC39A,Factor1,0.362524743790321,mRNA
334,ORC1,Factor1,0.00253578330810806,mRNA
335,CHERP,Factor1,0.000638617282214949,mRNA
336,RAD54L,Factor1,0.00642553947041424,mRNA
337,DNAJA1,Factor1,0.00132184029605334,mRNA
338,ITPKC,Factor1,0.00435373096164924,mRNA
339,HSD17B14,Factor1,0.275973634961828,mRNA
340,SRRT,Factor1,0.00332954742361852,mRNA
341,PIGS,Factor1,0.00169241787398599,mRNA
342,ADAMTS2,Factor1,0.657118510819947,mRNA
343,NOP14,Factor1,0.0301446985438915,mRNA
344,RTRAF,Factor1,0.00104323862694096,mRNA
345,SF3B2,Factor1,0.00361346573633843,mRNA
346,KLHL42,Factor1,0.00318925403583421,mRNA
347,PTHLH,Factor1,0.0828364093144252,mRNA
348,PHACTR3,Factor1,0.229488438525786,mRNA
349,AAMDC,Factor1,0.0541231886706826,mRNA
350,SULT2B1,Factor1,0.491733888924549,mRNA
351,DNMT3B,Factor1,0.129924079660932,mRNA
352,TPX2,Factor1,0.0792525958456608,mRNA
353,ARHGAP28,Factor1,0.44225996856838,mRNA
354,ATRN,Factor1,0.199665257466985,mRNA
355,FKBP1A,Factor1,0.0241134855800694,mRNA
356,NSFL1C,Factor1,0.0386434693311866,mRNA
357,EBF4,Factor1,0.0424515840621476,mRNA
358,MAVS,Factor1,0.00170239442701676,mRNA
359,RPL6,Factor1,0.018615606363715,mRNA
360,RBBP9,Factor1,0.000731568484370315,mRNA
361,GCN1,Factor1,0.00330799466855306,mRNA
362,RPLP0,Factor1,0.0405795661716003,mRNA
363,KIF16B,Factor1,0.0745910928053212,mRNA
364,CHGB,Factor1,0.00204853625067963,mRNA
365,IGBP1,Factor1,0.0811546803822999,mRNA
366,DDX24,Factor1,0.00285202481836334,mRNA
367,ZBTB25,Factor1,0.00309992810394649,mRNA
368,NECAP1,Factor1,0.00145600833642754,mRNA
369,ARHGAP4,Factor1,0.0291932537331319,mRNA
370,BLVRB,Factor1,4.3015456530602e-05,mRNA
371,PAPOLA,Factor1,0.0007624167538439,mRNA
372,LYZ,Factor1,1,mRNA
373,TFAP4,Factor1,0.140745446751155,mRNA
374,PDCD7,Factor1,5.14243878349516e-05,mRNA
375,P3H2,Factor1,0.310804001647543,mRNA
376,PABPC4,Factor1,0.0124482228885978,mRNA
377,CERS4,Factor1,0.260907884971502,mRNA
378,NLRC4,Factor1,0.0769159806595457,mRNA
379,PUS7,Factor1,0.0233455461262045,mRNA
380,TXNL1,Factor1,0.00693124973618877,mRNA
381,ABCC6,Factor1,0.10639421315475,mRNA
382,TF,Factor1,0.0100896139067086,mRNA
383,ZC3HC1,Factor1,0.0727553723389479,mRNA
384,ESR1,Factor1,0.0275996202868194,mRNA
385,CCDC80,Factor1,0.578612900770487,mRNA
386,RPGRIP1,Factor1,0.0590325267261534,mRNA
387,SUPT16H,Factor1,0.000919920114564307,mRNA
388,CAPN3,Factor1,0.00786415842323936,mRNA
389,COL9A3,Factor1,0.287979403564203,mRNA
390,MYL6,Factor1,0.0957919422534047,mRNA
391,AGO1,Factor1,0.00799736329370983,mRNA
392,UNC13D,Factor1,0.271740285069618,mRNA
393,NUP50,Factor1,0.00070341070840421,mRNA
394,MAP3K1,Factor1,0.0335334246498772,mRNA
395,PTGS1,Factor1,0.0410930759189562,mRNA
396,CRAT,Factor1,0.00769718517778038,mRNA
397,NANS,Factor1,0.0219630119882111,mRNA
398,BLNK,Factor1,0.370662685884892,mRNA
399,TLL2,Factor1,0.255026666499989,mRNA
400,SRPK1,Factor1,0.0107714970864449,mRNA
401,HSP90AB1,Factor1,0.00131425615754038,mRNA
402,SCD,Factor1,0.0029982268394843,mRNA
403,ERMP1,Factor1,0.0859292458785611,mRNA
404,PALMD,Factor1,0.102058566716867,mRNA
405,MZF1,Factor1,0.139239023363541,mRNA
406,KCNK6,Factor1,0.263586976490319,mRNA
407,ATP5F1D,Factor1,0.0371587388526355,mRNA
408,CBARP,Factor1,0.0466090571570616,mRNA
409,POLRMT,Factor1,0.000156384644058309,mRNA
410,CDHR5,Factor1,0.524371508134421,mRNA
411,GADD45B,Factor1,0.303924205693451,mRNA
412,KLHL22,Factor1,0.11451282286287,mRNA
413,MED15,Factor1,0.00616871896799275,mRNA
414,SNAP29,Factor1,0.00217887497659088,mRNA
415,CRKL,Factor1,0.00170652771041768,mRNA
416,LZTR1,Factor1,0.00905404100097148,mRNA
417,SUSD2,Factor1,0.117053933532999,mRNA
418,YPEL1,Factor1,0.0692717697088246,mRNA
419,MFNG,Factor1,0.043947675735094,mRNA
420,SLC25A1,Factor1,0.000290513694658348,mRNA
421,EIF3L,Factor1,0.00888973422263096,mRNA
422,SNU13,Factor1,0.0139692323976934,mRNA
423,POLR2F,Factor1,0.00782945075771507,mRNA
424,TOMM22,Factor1,0.00152217849368894,mRNA
425,XBP1,Factor1,0.00494930082341523,mRNA
426,JOSD1,Factor1,0.0628023382791905,mRNA
427,BIK,Factor1,0.521281982388433,mRNA
428,MCAT,Factor1,0.0261427649788979,mRNA
429,TTLL12,Factor1,0.0237413829849751,mRNA
430,PDGFB,Factor1,0.0333480388743688,mRNA
431,CABP7,Factor1,0.00357537110965378,mRNA
432,RPL3,Factor1,0.0029273373917038,mRNA
433,MIEF1,Factor1,0.00406199489840519,mRNA
434,MYH9,Factor1,0.0931211679764324,mRNA
435,SAMM50,Factor1,0.0124221346034441,mRNA
436,EIF3D,Factor1,0.00741647473431301,mRNA
437,TNRC6B,Factor1,0.00525596876272401,mRNA
438,ST13,Factor1,0.0128845870897846,mRNA
439,PHF5A,Factor1,0.000714173437428534,mRNA
440,TRMU,Factor1,0.00268534480383185,mRNA
441,PMM1,Factor1,0.0977539797379812,mRNA
442,DESI1,Factor1,0.00311620101369899,mRNA
443,ABHD4,Factor1,0.0276977643414994,mRNA
444,PRMT5,Factor1,0.000609648252440224,mRNA
445,SOS2,Factor1,0.0161458420619471,mRNA
446,DDHD1,Factor1,0.00275094018499491,mRNA
447,PSMA3,Factor1,0.000122170319012418,mRNA
448,TIMM9,Factor1,0.000353327059749758,mRNA
449,AHSA1,Factor1,0.00118164149524287,mRNA
450,DAAM1,Factor1,0.00148212522041168,mRNA
451,SNW1,Factor1,0.00575642494077855,mRNA
452,CHGA,Factor1,0.0404924048038583,mRNA
453,SUSD6,Factor1,0.00153031093778625,mRNA
454,ZFYVE21,Factor1,0.00175155222853118,mRNA
455,BDKRB1,Factor1,0.00835135561945835,mRNA
456,VRK1,Factor1,0.0037626957293332,mRNA
457,PAPLN,Factor1,0.0248394300768046,mRNA
458,PPP4R3A,Factor1,0.000133231013529163,mRNA
459,CCNB1IP1,Factor1,0.00576946572298445,mRNA
460,APEX1,Factor1,0.00356066426299458,mRNA
461,PABPN1,Factor1,0.00136140726257151,mRNA
462,DHRS2,Factor1,0.021135529049793,mRNA
463,DCAF11,Factor1,0.0596160843507886,mRNA
464,PNN,Factor1,0.0497697584966415,mRNA
465,TRPC4AP,Factor1,0.00344240099502308,mRNA
466,ABHD12,Factor1,0.00118544595514024,mRNA
467,MYBL2,Factor1,0.00693024682780965,mRNA
468,NFATC2,Factor1,0.00114210637986005,mRNA
469,CTSZ,Factor1,0.0401597521881791,mRNA
470,NTSR1,Factor1,0.367205141249014,mRNA
471,ISM1,Factor1,0.0406705569210506,mRNA
472,TRIB3,Factor1,0.0550779733834923,mRNA
473,RPS10P5,Factor1,0.0761068004203058,mRNA
474,HM13,Factor1,0.0316826423962051,mRNA
475,CCM2L,Factor1,0.0967927413886547,mRNA
476,MYL9,Factor1,0.479464878424348,mRNA
477,TM9SF4,Factor1,0.00633601569026494,mRNA
478,POFUT1,Factor1,0.0143696333399897,mRNA
479,KIF3B,Factor1,0.000419665914083573,mRNA
480,NOP56,Factor1,0.00734204685894317,mRNA
481,MAPRE1,Factor1,0.00337875993328681,mRNA
482,E2F1,Factor1,0.000494195696195867,mRNA
483,PXMP4,Factor1,0.004100657512045,mRNA
484,CHMP4B,Factor1,0.0725408499137764,mRNA
485,PIGU,Factor1,0.00471507851138591,mRNA
486,ACOT8,Factor1,0.00477447811100965,mRNA
487,APMAP,Factor1,0.0099284405184976,mRNA
488,CELF4,Factor1,0.233884583678458,mRNA
489,SMCHD1,Factor1,0.000661841686921328,mRNA
490,MYL12A,Factor1,0.0569408517595442,mRNA
